Date,Type,residence,Positive,Negative
12/24/2020,Students,Students - Non-Residential,1,38
12/24/2020,Students,Students - Residential,0,17
12/25/2020,Faculty/Staff,Non-Residential,3,3
12/25/2020,Students,Students - Non-Residential,1,3
12/26/2020,Faculty/Staff,Non-Residential,0,61
12/26/2020,Students,Students - Non-Residential,0,74
12/26/2020,Students,Students - Residential,0,31
12/27/2020,Faculty/Staff,Non-Residential,1,56
12/27/2020,Students,Students - Non-Residential,0,70
12/27/2020,Students,Students - Residential,0,26
12/28/2020,Faculty/Staff,Non-Residential,4,121
12/28/2020,Students,Students - Non-Residential,1,43
12/28/2020,Students,Students - Residential,0,17
12/29/2020,Faculty/Staff,Non-Residential,2,57
12/29/2020,Students,Students - Non-Residential,0,57
12/29/2020,Students,Students - Residential,1,29
12/30/2020,Faculty/Staff,Non-Residential,5,111
12/30/2020,Students,Students - Non-Residential,0,88
12/30/2020,Students,Students - Residential,0,37
12/31/2020,Faculty/Staff,Non-Residential,1,43
12/31/2020,Students,Students - Non-Residential,1,25
12/31/2020,Students,Students - Residential,0,5
1/1/2021,Faculty/Staff,Non-Residential,0,34
1/1/2021,Students,Students - Non-Residential,0,23
1/1/2021,Students,Students - Residential,0,15
1/2/2021,Faculty/Staff,Non-Residential,0,8
1/2/2021,Students,Students - Non-Residential,2,45
1/2/2021,Students,Students - Residential,0,8
1/3/2021,Faculty/Staff,Non-Residential,0,39
1/3/2021,Students,Students - Non-Residential,1,73
1/3/2021,Students,Students - Residential,0,34
1/4/2021,Faculty/Staff,Non-Residential,4,163
1/4/2021,Students,Students - Non-Residential,3,383
1/4/2021,Students,Students - Residential,0,16
1/5/2021,Faculty/Staff,Non-Residential,5,105
1/5/2021,Students,Students - Non-Residential,5,167
1/5/2021,Students,Students - Residential,1,46
1/6/2021,Faculty/Staff,Non-Residential,10,136
1/6/2021,Students,Students - Non-Residential,8,302
1/6/2021,Students,Students - Residential,0,26
1/7/2021,Faculty/Staff,Non-Residential,3,79
1/7/2021,Students,Students - Non-Residential,3,78
1/7/2021,Students,Students - Residential,0,22
1/8/2021,Faculty/Staff,Non-Residential,5,121
1/8/2021,Students,Students - Non-Residential,2,139
1/8/2021,Students,Students - Residential,0,29
1/9/2021,Faculty/Staff,Non-Residential,1,3
1/9/2021,Students,Students - Non-Residential,2,16
1/9/2021,Students,Students - Residential,1,7
1/10/2021,Faculty/Staff,Non-Residential,1,36
1/10/2021,Students,Students - Non-Residential,2,69
1/10/2021,Students,Students - Residential,1,24
1/11/2021,Faculty/Staff,Non-Residential,5,164
1/11/2021,Students,Students - Non-Residential,5,411
1/11/2021,Students,Students - Residential,1,23
1/12/2021,Faculty/Staff,Non-Residential,5,68
1/12/2021,Students,Students - Non-Residential,3,125
1/12/2021,Students,Students - Residential,0,59
1/13/2021,Faculty/Staff,Non-Residential,2,129
1/13/2021,Students,Students - Non-Residential,5,358
1/13/2021,Students,Students - Residential,0,49
1/14/2021,Faculty/Staff,Non-Residential,10,86
1/14/2021,Students,Students - Non-Residential,1,126
1/14/2021,Students,Students - Residential,1,40
1/15/2021,Faculty/Staff,Non-Residential,3,61
1/15/2021,Students,Students - Non-Residential,1,107
1/15/2021,Students,Students - Residential,0,36
1/16/2021,Faculty/Staff,Non-Residential,0,4
1/16/2021,Students,Students - Non-Residential,1,39
1/16/2021,Students,Students - Residential,3,104
